date,equity,open_positions,cash
2022-09-15,85379.81,17,1614.32
2022-09-16,84067.94,17,614.02
2022-09-19,85368.44,17,614.02
2022-09-20,84330.74,17,614.02
2022-09-21,83789.73,17,614.02
2022-09-22,82284.5,17,114.49
2022-09-23,79829.74,16,3292.47
2022-09-26,78949.21,16,1793.51
2022-09-27,79259.73,16,1793.51
2022-09-28,81831.97,16,1793.51
2022-09-29,80497.52,16,1293.93
2022-09-30,79970.32,16,794.11
2022-10-03,81467.73,16,293.99
2022-10-04,83949.1,16,293.99
2022-10-05,83190.1,16,293.99
2022-10-06,82743.2,15,4794.36
2022-10-07,81103.37,15,4794.36
2022-10-10,80762.19,15,4794.36
2022-10-11,80760.8,15,4296.08
2022-10-12,80662.38,16,296.95
2022-10-13,83405.11,16,296.95
2022-10-14,81899.71,16,296.95
2022-10-17,84133.67,16,296.95
2022-10-18,84604.92,16,296.95
2022-10-19,83226.38,16,296.95
2022-10-20,81797.17,16,296.95
2022-10-21,83496.12,15,4795.82
2022-10-24,83931.77,16,797.63
2022-10-25,87043.11,16,1798.33
2022-10-26,87873.65,16,2799.4
2022-10-27,87614.91,16,2799.4
2022-10-28,89791.78,16,2799.4
2022-10-31,90281.21,16,2799.4
2022-11-01,90355.2,16,5465.37
2022-11-02,87933.81,15,11800.79
2022-11-03,87259.36,17,1800.79
2022-11-04,87532.91,17,801.0
2022-11-07,88998.19,17,679.84
2022-11-08,88735.38,17,679.84
2022-11-09,86200.99,16,4826.07
2022-11-10,90761.64,17,1826.44
2022-11-11,91176.37,17,3827.85
2022-11-14,91062.64,17,3327.18
2022-11-15,91724.93,17,4327.12
2022-11-16,91146.71,17,3827.6
2022-11-17,90394.0,17,4405.41
2022-11-18,90989.89,17,3904.13
